volcano_number,volcano_name,eruption_number,eruption_category,area_of_activity,vei,start_year,start_month,start_day,evidence_method_dating,end_year,end_month,end_day,latitude,longitude,date_string,eruption_date,week
266030,Soputan,22354,Confirmed Eruption,,0.0,2020,3,23,Historical Observations,2020.0,4.0,2.0,1.112,124.737,2020-03-23,2020-03-23,2020-03-23/2020-03-29
343100,San Miguel,22355,Confirmed Eruption,,0.0,2020,2,22,Historical Observations,2020.0,2.0,22.0,13.434,-88.269,2020-02-22,2020-02-22,2020-02-17/2020-02-23
233020,"Fournaise, Piton de la",22343,Confirmed Eruption,,0.0,2020,2,10,Historical Observations,2020.0,4.0,6.0,-21.244,55.708,2020-02-10,2020-02-10,2020-02-10/2020-02-16
345020,Rincon de la Vieja,22346,Confirmed Eruption,,0.0,2020,1,31,Historical Observations,2020.0,4.0,17.0,10.83,-85.324,2020-01-31,2020-01-31,2020-01-27/2020-02-02
353010,Fernandina,22347,Confirmed Eruption,,0.0,2020,1,12,Historical Observations,2020.0,1.0,12.0,-0.37,-91.55,2020-01-12,2020-01-12,2020-01-06/2020-01-12
273070,Taal,22344,Confirmed Eruption,,0.0,2020,1,12,Historical Observations,2020.0,1.0,22.0,14.002,120.993,2020-01-12,2020-01-12,2020-01-06/2020-01-12
282050,Kuchinoerabujima,22345,Confirmed Eruption,,0.0,2020,1,11,Historical Observations,2020.0,4.0,17.0,30.443,130.217,2020-01-11,2020-01-11,2020-01-06/2020-01-12
241040,Whakaari/White Island,22338,Confirmed Eruption,1978/90 Crater Complex,2.0,2019,12,9,Historical Observations,2019.0,12.0,9.0,-37.52,177.18,2019-12-09,2019-12-09,2019-12-09/2019-12-15
311060,Semisopochnoi,22341,Confirmed Eruption,,0.0,2019,12,7,Historical Observations,2020.0,3.0,15.0,51.93,179.58,2019-12-07,2019-12-07,2019-12-02/2019-12-08
284096,Nishinoshima,22340,Confirmed Eruption,,1.0,2019,12,5,Historical Observations,2020.0,4.0,17.0,27.247,140.874,2019-12-05,2019-12-05,2019-12-02/2019-12-08
311240,Cleveland,22342,Uncertain Eruption,,0.0,2019,11,7,Historical Observations,2019.0,12.0,7.0,52.825,-169.944,2019-11-07,2019-11-07,2019-11-04/2019-11-10
282060,Kikai,22339,Confirmed Eruption,,0.0,2019,11,2,Historical Observations,2020.0,4.0,16.0,30.793,130.305,2019-11-02,2019-11-02,2019-10-28/2019-11-03
300260,Klyuchevskoy,22335,Confirmed Eruption,,0.0,2019,10,24,Historical Observations,2020.0,4.0,17.0,56.056,160.642,2019-10-24,2019-10-24,2019-10-21/2019-10-27
243070,Lateiki,22334,Confirmed Eruption,,1.0,2019,10,13,Historical Observations,2019.0,10.0,22.0,-19.18,-174.87,2019-10-13,2019-10-13,2019-10-07/2019-10-13
283110,Asamayama,22326,Confirmed Eruption,,0.0,2019,8,7,Historical Observations,2019.0,8.0,25.0,36.406,138.523,2019-08-07,2019-08-07,2019-08-05/2019-08-11
357090,Copahue,22336,Confirmed Eruption,,0.0,2019,8,2,Historical Observations,2019.0,11.0,12.0,-37.856,-71.183,2019-08-02,2019-08-02,2019-07-29/2019-08-04
263090,Tangkuban Parahu,22325,Confirmed Eruption,,0.0,2019,7,26,Historical Observations,2019.0,9.0,17.0,-6.77,107.6,2019-07-26,2019-07-26,2019-07-22/2019-07-28
311360,Shishaldin,22330,Confirmed Eruption,Summit crater,0.0,2019,7,23,Historical Observations,2020.0,4.0,9.0,54.756,-163.97,2019-07-23,2019-07-23,2019-07-22/2019-07-28
351020,"Ruiz, Nevado del",22329,Confirmed Eruption,,0.0,2019,7,23,Historical Observations,2020.0,4.0,13.0,4.892,-75.324,2019-07-23,2019-07-23,2019-07-22/2019-07-28
311060,Semisopochnoi,22328,Confirmed Eruption,,0.0,2019,7,16,Historical Observations,2019.0,8.0,24.0,51.93,179.58,2019-07-16,2019-07-16,2019-07-15/2019-07-21
252120,Ulawun,22319,Confirmed Eruption,,0.0,2019,6,26,Historical Observations,2019.0,10.0,5.0,-5.05,151.33,2019-06-26,2019-06-26,2019-06-24/2019-06-30
354020,Ubinas,22324,Confirmed Eruption,,0.0,2019,6,24,Historical Observations,2019.0,12.0,24.0,-16.355,-70.903,2019-06-24,2019-06-24,2019-06-24/2019-06-30
290250,Raikoke,22321,Confirmed Eruption,,0.0,2019,6,22,Historical Observations,2019.0,7.0,1.0,48.292,153.25,2019-06-22,2019-06-22,2019-06-17/2019-06-23
233020,"Fournaise, Piton de la",22318,Confirmed Eruption,,0.0,2019,6,11,Historical Observations,2019.0,10.0,27.0,-21.244,55.708,2019-06-11,2019-06-11,2019-06-10/2019-06-16
311120,Great Sitkin,22322,Confirmed Eruption,,0.0,2019,6,1,Historical Observations,2019.0,6.0,7.0,52.076,-176.13,2019-06-01,2019-06-01,2019-05-27/2019-06-02
290240,Sarychev Peak,22320,Confirmed Eruption,,2.0,2019,5,16,Historical Observations,2019.0,10.0,7.0,48.092,153.2,2019-05-16,2019-05-16,2019-05-13/2019-05-19
341040,Colima,22323,Confirmed Eruption,,0.0,2019,5,11,Historical Observations,2019.0,7.0,12.0,19.514,-103.62,2019-05-11,2019-05-11,2019-05-06/2019-05-12
282110,Asosan,22317,Confirmed Eruption,,0.0,2019,4,16,Historical Observations,2020.0,4.0,17.0,32.884,131.104,2019-04-16,2019-04-16,2019-04-15/2019-04-21
300260,Klyuchevskoy,22310,Confirmed Eruption,,0.0,2019,4,9,Historical Observations,2019.0,7.0,2.0,56.056,160.642,2019-04-09,2019-04-09,2019-04-08/2019-04-14
352090,Sangay,22312,Confirmed Eruption,,0.0,2019,3,26,Historical Observations,2020.0,4.0,17.0,-2.005,-78.341,2019-03-26,2019-03-26,2019-03-25/2019-03-31
344020,San Cristobal,22311,Confirmed Eruption,,0.0,2019,3,4,Historical Observations,2019.0,3.0,4.0,12.702,-87.004,2019-03-04,2019-03-04,2019-03-04/2019-03-10
233020,"Fournaise, Piton de la",22307,Confirmed Eruption,,0.0,2019,2,18,Historical Observations,2019.0,3.0,10.0,-21.244,55.708,2019-02-18,2019-02-18,2019-02-18/2019-02-24
263310,Tengger Caldera,22306,Confirmed Eruption,Bromo,2.0,2019,2,18,Historical Observations,2019.0,7.0,28.0,-7.942,112.95,2019-02-18,2019-02-18,2019-02-18/2019-02-24
300130,Karymsky,22309,Confirmed Eruption,,0.0,2019,2,16,Historical Observations,2019.0,9.0,24.0,54.049,159.443,2019-02-16,2019-02-16,2019-02-11/2019-02-17
345040,Poas,22303,Confirmed Eruption,,0.0,2019,2,7,Historical Observations,2019.0,9.0,30.0,10.2,-84.233,2019-02-07,2019-02-07,2019-02-04/2019-02-10
261080,Sinabung,22316,Confirmed Eruption,,0.0,2019,2,6,Historical Observations,2019.0,6.0,9.0,3.17,98.392,2019-02-06,2019-02-06,2019-02-04/2019-02-10
