period,eruption_count,avg_vei,max_vei,total_streams,track_count,top_genre
2017-01-02/2017-01-08,1.0,1.0,1.0,2044877309.0,200.0,dance pop
2017-01-09/2017-01-15,1.0,2.0,2.0,2079478957.0,200.0,dance pop
2017-01-16/2017-01-22,0.0,0.0,0.0,2157017880.0,200.0,dance pop
2017-01-23/2017-01-29,1.0,0.0,0.0,2141643461.0,200.0,dance pop
2017-01-30/2017-02-05,1.0,0.0,0.0,2245913150.0,200.0,dance pop
2017-02-06/2017-02-12,0.0,0.0,0.0,2247305384.0,200.0,dance pop
2017-02-13/2017-02-19,2.0,1.0,1.0,2229640241.0,200.0,dance pop
2017-02-20/2017-02-26,0.0,0.0,0.0,2281306657.0,200.0,dance pop
2017-02-27/2017-03-05,0.0,0.0,0.0,2384851007.0,200.0,dance pop
2017-03-06/2017-03-12,1.0,0.0,0.0,2515046322.0,200.0,dance pop
2017-03-13/2017-03-19,0.0,0.0,0.0,2460593273.0,200.0,dance pop
2017-03-20/2017-03-26,2.0,2.0,3.0,2650146558.0,200.0,dance pop
2017-03-27/2017-04-02,1.0,0.0,0.0,2535648927.0,200.0,dance pop
2017-04-03/2017-04-09,1.0,0.0,0.0,2439158171.0,200.0,dance pop
2017-04-10/2017-04-16,1.0,1.0,1.0,2450782251.0,200.0,dance pop
2017-04-17/2017-04-23,1.0,2.0,2.0,2509341650.0,200.0,dance pop
2017-04-24/2017-04-30,1.0,1.0,1.0,2522765806.0,200.0,dance pop
2017-05-01/2017-05-07,0.0,0.0,0.0,2708645271.0,200.0,dance pop
2017-05-08/2017-05-14,1.0,0.0,0.0,2734182982.0,200.0,dance pop
2017-05-15/2017-05-21,0.0,0.0,0.0,2733497138.0,200.0,dance pop
2017-05-22/2017-05-28,1.0,2.0,2.0,2786084124.0,200.0,dance pop
2017-05-29/2017-06-04,3.0,1.6666666666666667,3.0,0.0,0.0,unknown
2017-06-05/2017-06-11,2.0,1.0,1.0,0.0,0.0,unknown
2017-06-12/2017-06-18,0.0,0.0,0.0,2684177223.0,200.0,dance pop
2017-06-19/2017-06-25,0.0,0.0,0.0,2762014012.0,200.0,dance pop
2017-06-26/2017-07-02,0.0,0.0,0.0,2716057227.0,200.0,dance pop
2017-07-03/2017-07-09,0.0,0.0,0.0,2788968129.0,200.0,dance pop
2017-07-10/2017-07-16,2.0,1.0,2.0,2684794560.0,200.0,dance pop
2017-07-17/2017-07-23,1.0,2.0,2.0,2634181749.0,200.0,dance pop
2017-07-24/2017-07-30,0.0,0.0,0.0,2671861415.0,200.0,dance pop
2017-07-31/2017-08-06,0.0,0.0,0.0,2586534368.0,200.0,dance pop
2017-08-07/2017-08-13,1.0,1.0,1.0,2558695321.0,200.0,dance pop
2017-08-14/2017-08-20,1.0,3.0,3.0,2544010998.0,200.0,dance pop
2017-08-21/2017-08-27,0.0,0.0,0.0,2568832378.0,200.0,dance pop
2017-08-28/2017-09-03,0.0,0.0,0.0,2662683436.0,200.0,dance pop
2017-09-04/2017-09-10,2.0,2.5,3.0,2603959289.0,200.0,dance pop
2017-09-11/2017-09-17,0.0,0.0,0.0,2570687235.0,200.0,dance pop
2017-09-18/2017-09-24,0.0,0.0,0.0,2631366987.0,200.0,dance pop
2017-09-25/2017-10-01,0.0,0.0,0.0,2627974152.0,200.0,dance pop
2017-10-02/2017-10-08,0.0,0.0,0.0,2547342169.0,200.0,dance pop
2017-10-09/2017-10-15,2.0,2.0,2.0,2505828610.0,200.0,dance pop
2017-10-16/2017-10-22,1.0,3.0,3.0,2514169742.0,200.0,dance pop
2017-10-23/2017-10-29,0.0,0.0,0.0,2513526748.0,200.0,dance pop
2017-10-30/2017-11-05,0.0,0.0,0.0,2537098501.0,200.0,dance pop
2017-11-06/2017-11-12,1.0,1.0,1.0,2577159916.0,200.0,dance pop
2017-11-13/2017-11-19,0.0,0.0,0.0,2587114392.0,200.0,dance pop
2017-11-20/2017-11-26,1.0,3.0,3.0,2560441892.0,200.0,dance pop
2017-11-27/2017-12-03,0.0,0.0,0.0,2531566204.0,200.0,dance pop
2017-12-04/2017-12-10,1.0,2.0,2.0,2647033614.0,200.0,dance pop
2017-12-11/2017-12-17,0.0,0.0,0.0,2592604900.0,200.0,dance pop
2017-12-18/2017-12-24,1.0,0.0,0.0,2728732937.0,200.0,dance pop
2017-12-25/2017-12-31,0.0,0.0,0.0,2708222788.0,200.0,dance pop
2018-01-01/2018-01-07,1.0,2.0,2.0,2659920124.0,200.0,dance pop
2018-01-08/2018-01-14,2.0,1.5,2.0,2746745070.0,200.0,dance pop
2018-01-15/2018-01-21,0.0,0.0,0.0,2776102642.0,200.0,dance pop
2018-01-22/2018-01-28,1.0,1.0,1.0,2817562740.0,200.0,dance pop
2018-01-29/2018-02-04,1.0,1.0,1.0,2871558426.0,200.0,dance pop
2018-02-05/2018-02-11,0.0,0.0,0.0,2791059547.0,200.0,dance pop
2018-02-12/2018-02-18,0.0,0.0,0.0,2867471652.0,200.0,dance pop
2018-02-19/2018-02-25,1.0,1.0,1.0,2849051765.0,200.0,dance pop
2018-02-26/2018-03-04,1.0,3.0,3.0,2947376220.0,200.0,dance pop
2018-03-05/2018-03-11,0.0,0.0,0.0,2890928846.0,200.0,dance pop
